time,District,Party,Mandates,Percentage,validVotesPercentage,Votes
10/6/2019 18:56,Açores,L/TDA,0,0.35,0.37,332
10/6/2019 18:56,Açores,PTP-MAS,0,0.34,0.36,319
10/6/2019 18:56,Açores,MPT,0,0.32,0.34,299
10/6/2019 18:56,Açores,PNR,0,0.2,0.21,185
10/6/2019 18:56,Aveiro,PPD/PSD.CDS-PP,10,48.14,50.23,177185
10/6/2019 18:56,Aveiro,PS,5,27.91,29.12,102726
10/6/2019 18:56,Aveiro,B.E.,1,9.6,10.01,35327
10/6/2019 18:56,Aveiro,PCP-PEV,0,4.36,4.55,16038
10/6/2019 18:56,Aveiro,PDR,0,1.24,1.29,4548
10/6/2019 18:56,Aveiro,PAN,0,0.97,1.01,3573
10/6/2019 18:56,Aveiro,PCTP/MRPP,0,0.89,0.93,3280
10/6/2019 18:56,Aveiro,PNR,0,0.46,0.48,1698
10/6/2019 18:56,Aveiro,L/TDA,0,0.45,0.47,1660
10/6/2019 18:56,Aveiro,MPT,0,0.36,0.38,1325
10/6/2019 18:56,Aveiro,PPM,0,0.35,0.37,1292
10/6/2019 18:56,Aveiro,PTP-MAS,0,0.34,0.36,1253
10/6/2019 18:56,Aveiro,NC,0,0.27,0.29,1006
10/6/2019 18:56,Aveiro,PPV/CDC,0,0.21,0.22,785
10/6/2019 18:56,Aveiro,PURP,0,0.17,0.18,634
10/6/2019 18:56,Aveiro,JPP,0,0.12,0.13,448
10/6/2019 18:56,Beja,PS,1,37.29,38.51,27775
10/6/2019 18:56,Beja,PCP-PEV,1,24.96,25.78,18592
10/6/2019 18:56,Beja,PPD/PSD.CDS-PP,1,20.11,20.77,14980
10/6/2019 18:56,Beja,B.E.,0,8.2,8.46,6105
10/6/2019 18:56,Beja,PCTP/MRPP,0,2.61,2.7,1945
10/6/2019 18:56,Beja,PAN,0,0.82,0.84,608
10/6/2019 18:56,Beja,PDR,0,0.47,0.49,351
10/6/2019 18:56,Beja,PURP,0,0.46,0.47,340
10/6/2019 18:56,Beja,PNR,0,0.37,0.38,275
10/6/2019 18:56,Beja,L/TDA,0,0.36,0.38,271
10/6/2019 18:56,Beja,MPT,0,0.33,0.34,248
10/6/2019 18:56,Beja,PPM,0,0.26,0.27,192
10/6/2019 18:56,Beja,PTP-MAS,0,0.26,0.27,193
10/6/2019 18:56,Beja,NC,0,0.21,0.22,160
10/6/2019 18:56,Beja,JPP,0,0.12,0.12,88
10/6/2019 18:56,Braga,PPD/PSD.CDS-PP,10,45.61,47.29,216357
10/6/2019 18:56,Braga,PS,7,30.87,32,146412
10/6/2019 18:56,Braga,B.E.,1,8.8,9.12,41745
10/6/2019 18:56,Braga,PCP-PEV,1,5.19,5.38,24632
10/6/2019 18:56,Braga,PDR,0,1.58,1.64,7500
10/6/2019 18:56,Braga,PCTP/MRPP,0,1.15,1.19,5436
10/6/2019 18:56,Braga,PAN,0,0.78,0.8,3682
10/6/2019 18:56,Braga,L/TDA,0,0.49,0.51,2333
10/6/2019 18:56,Braga,PNR,0,0.39,0.4,1836
10/6/2019 18:56,Braga,MPT,0,0.34,0.35,1604
10/6/2019 18:56,Braga,PTP-MAS,0,0.34,0.35,1620
10/6/2019 18:56,Braga,PPV/CDC,0,0.21,0.22,993
10/6/2019 18:56,Braga,NC,0,0.2,0.21,972
10/6/2019 18:56,Braga,PPM,0,0.19,0.19,884
10/6/2019 18:56,Braga,PURP,0,0.19,0.19,878
10/6/2019 18:56,Braga,JPP,0,0.13,0.14,637
10/6/2019 18:56,Bragança,PPD/PSD.CDS-PP,2,49.41,51.32,34408
10/6/2019 18:56,Bragança,PS,1,34.06,35.38,23718
10/6/2019 18:56,Bragança,B.E.,0,5.54,5.75,3858
10/6/2019 18:56,Bragança,PCP-PEV,0,3.07,3.19,2136
10/6/2019 18:56,Bragança,PDR,0,0.78,0.81,546
10/6/2019 18:56,Bragança,PCTP/MRPP,0,0.77,0.8,537
10/6/2019 18:56,Bragança,PAN,0,0.55,0.58,386
10/6/2019 18:56,Bragança,PTP-MAS,0,0.41,0.42,284
10/6/2019 18:56,Bragança,L/TDA,0,0.36,0.37,251
10/6/2019 18:56,Bragança,PPM,0,0.33,0.34,229
10/6/2019 18:56,Bragança,MPT,0,0.32,0.33,223
10/6/2019 18:56,Bragança,PNR,0,0.27,0.28,190
10/6/2019 18:56,Bragança,NC,0,0.23,0.24,160
10/6/2019 18:56,Bragança,JPP,0,0.17,0.18,121
10/6/2019 18:56,Castelo Branco,PS,2,38.86,40.52,40502
10/6/2019 18:56,Castelo Branco,PPD/PSD.CDS-PP,2,35.31,36.82,36803
10/6/2019 18:56,Castelo Branco,B.E.,0,10.03,10.45,10450
10/6/2019 18:56,Castelo Branco,PCP-PEV,0,6.03,6.29,6286
10/6/2019 18:56,Castelo Branco,PCTP/MRPP,0,1.04,1.08,1080
10/6/2019 18:56,Castelo Branco,PDR,0,1.04,1.09,1086
10/6/2019 18:56,Castelo Branco,PAN,0,0.83,0.86,860
10/6/2019 18:56,Castelo Branco,L/TDA,0,0.49,0.51,507
10/6/2019 18:56,Castelo Branco,PNR,0,0.49,0.51,508
10/6/2019 18:56,Castelo Branco,PPM,0,0.48,0.5,496
10/6/2019 18:56,Castelo Branco,MPT,0,0.45,0.47,474
10/6/2019 18:56,Castelo Branco,PTP-MAS,0,0.36,0.37,374
10/6/2019 18:56,Castelo Branco,NC,0,0.26,0.27,267
10/6/2019 18:56,Castelo Branco,PURP,0,0.26,0.27,272
10/6/2019 18:56,Coimbra,PPD/PSD.CDS-PP,4,37.18,38.85,81882
10/6/2019 18:56,Coimbra,PS,4,35.28,36.86,77684
10/6/2019 18:56,Coimbra,B.E.,1,9.89,10.33,21780
10/6/2019 18:56,Coimbra,PCP-PEV,0,7.03,7.34,15476
10/6/2019 18:56,Coimbra,PDR,0,1.64,1.72,3615
10/6/2019 18:56,Coimbra,PAN,0,0.98,1.03,2165
10/6/2019 18:56,Coimbra,PCTP/MRPP,0,0.86,0.9,1889
10/6/2019 18:56,Coimbra,L/TDA,0,0.59,0.61,1292
10/6/2019 18:56,Coimbra,PNR,0,0.5,0.52,1097
10/6/2019 18:56,Coimbra,PTP-MAS,0,0.49,0.51,1081
10/6/2019 18:56,Coimbra,MPT,0,0.39,0.41,854
10/6/2019 18:56,Coimbra,NC,0,0.31,0.32,683
10/6/2019 18:56,Coimbra,PPM,0,0.24,0.25,525
10/6/2019 18:56,Coimbra,PURP,0,0.2,0.21,451
10/6/2019 18:56,Coimbra,JPP,0,0.12,0.13,272
10/6/2019 18:56,Évora,PS,1,37.47,38.61,31705
10/6/2019 18:56,Évora,PPD/PSD.CDS-PP,1,23.96,24.69,20275
10/6/2019 18:56,Évora,PCP-PEV,1,21.94,22.61,18567
10/6/2019 18:56,Évora,B.E.,0,8.64,8.9,7312
10/6/2019 18:56,Évora,PCTP/MRPP,0,1.47,1.52,1245
10/6/2019 18:56,Évora,PAN,0,0.85,0.88,723
10/6/2019 18:56,Évora,PDR,0,0.52,0.54,443
10/6/2019 18:56,Évora,PPM,0,0.43,0.44,363
10/6/2019 18:56,Évora,L/TDA,0,0.42,0.43,356
10/6/2019 18:56,Évora,PNR,0,0.33,0.34,280
10/6/2019 18:56,Évora,MPT,0,0.29,0.29,242
10/6/2019 18:56,Évora,NC,0,0.26,0.26,216
10/6/2019 18:56,Évora,PTP-MAS,0,0.26,0.27,224
10/6/2019 18:56,Évora,PURP,0,0.2,0.2,166
10/6/2019 18:56,Faro,PS,4,32.77,34.09,62422
10/6/2019 18:56,Faro,PPD/PSD.CDS-PP,3,31.47,32.74,59950
10/6/2019 18:56,Faro,B.E.,1,14.13,14.7,26922
10/6/2019 18:56,Faro,PCP-PEV,1,8.68,9.03,16539
10/6/2019 18:56,Faro,PAN,0,1.99,2.07,3783
10/6/2019 18:56,Faro,PCTP/MRPP,0,1.58,1.64,3012
10/6/2019 18:56,Faro,PDR,0,1.2,1.25,2293
10/6/2019 18:56,Faro,L/TDA,0,0.75,0.78,1435
10/6/2019 18:56,Faro,PNR,0,0.71,0.73,1343
10/6/2019 18:56,Faro,NC,0,0.7,0.73,1337
10/6/2019 18:56,Faro,MPT,0,0.64,0.67,1222
10/6/2019 18:56,Faro,PTP-MAS,0,0.64,0.67,1220
10/6/2019 18:56,Faro,PURP,0,0.47,0.48,886
10/6/2019 18:56,Faro,PPM,0,0.4,0.41,755
10/6/2019 18:56,Guarda,PPD/PSD.CDS-PP,2,45.59,47.64,38964
10/6/2019 18:56,Guarda,PS,2,33.78,35.29,28868
10/6/2019 18:56,Guarda,B.E.,0,7.42,7.75,6341
10/6/2019 18:56,Guarda,PCP-PEV,0,3.95,4.13,3379
10/6/2019 18:56,Guarda,PDR,0,1.12,1.17,958
10/6/2019 18:56,Guarda,PAN,0,0.85,0.89,725
10/6/2019 18:56,Guarda,PCTP/MRPP,0,0.81,0.84,689
10/6/2019 18:56,Guarda,PNR,0,0.46,0.48,389
10/6/2019 18:56,Guarda,MPT,0,0.35,0.36,298
10/6/2019 18:56,Guarda,L/TDA,0,0.34,0.35,287
10/6/2019 18:56,Guarda,PTP-MAS,0,0.32,0.34,277
10/6/2019 18:56,Guarda,PPM,0,0.25,0.26,211
10/6/2019 18:56,Guarda,NC,0,0.21,0.22,180
10/6/2019 18:56,Guarda,PURP,0,0.17,0.18,144
10/6/2019 18:56,Guarda,JPP,0,0.1,0.1,83
10/6/2019 18:56,Leiria,PPD/PSD.CDS-PP,6,48.42,50.9,115453
10/6/2019 18:56,Leiria,PS,3,24.82,26.09,59184
10/6/2019 18:56,Leiria,B.E.,1,9.66,10.15,23034
10/6/2019 18:56,Leiria,PCP-PEV,0,5.11,5.37,12181
10/6/2019 18:56,Leiria,PDR,0,1.71,1.79,4067
10/6/2019 18:56,Leiria,PAN,0,1.22,1.28,2908
10/6/2019 18:56,Leiria,PCTP/MRPP,0,1.06,1.11,2517
10/6/2019 18:56,Leiria,L/TDA,0,0.75,0.79,1786
10/6/2019 18:56,Leiria,MPT,0,0.5,0.52,1189
10/6/2019 18:56,Leiria,PNR,0,0.45,0.47,1073
10/6/2019 18:56,Leiria,PTP-MAS,0,0.38,0.4,916
10/6/2019 18:56,Leiria,NC,0,0.35,0.37,840
10/6/2019 18:56,Leiria,PPM,0,0.29,0.31,701
10/6/2019 18:56,Leiria,PURP,0,0.26,0.27,612
10/6/2019 18:56,Leiria,JPP,0,0.16,0.16,371
10/6/2019 18:56,Lisboa,PPD/PSD.CDS-PP,18,34.68,35.9,399520
10/6/2019 18:56,Lisboa,PS,18,33.54,34.72,386354
10/6/2019 18:56,Lisboa,B.E.,5,10.89,11.27,125438
10/6/2019 18:56,Lisboa,PCP-PEV,5,9.84,10.19,113406
10/6/2019 18:56,Lisboa,PAN,1,1.96,2.03,22628
10/6/2019 18:56,Lisboa,L/TDA,0,1.27,1.32,14683
10/6/2019 18:56,Lisboa,PCTP/MRPP,0,0.96,1,11083
10/6/2019 18:56,Lisboa,PDR,0,0.89,0.92,10249
10/6/2019 18:56,Lisboa,PNR,0,0.62,0.65,7188
10/6/2019 18:56,Lisboa,MPT,0,0.44,0.46,5078
10/6/2019 18:56,Lisboa,PTP-MAS,0,0.44,0.45,5026
10/6/2019 18:56,Lisboa,PURP,0,0.35,0.36,3999
10/6/2019 18:56,Lisboa,NC,0,0.32,0.34,3737
10/6/2019 18:56,Lisboa,PPM,0,0.24,0.25,2820
10/6/2019 18:56,Lisboa,JPP,0,0.13,0.14,1553
10/6/2019 18:56,Madeira,PPD/PSD,3,37.75,39.2,47228
10/6/2019 18:56,Madeira,PS,2,20.9,21.7,26152
10/6/2019 18:56,Madeira,B.E.,1,10.66,11.07,13342
10/6/2019 18:56,Madeira,JPP,0,6.93,7.2,8671
10/6/2019 18:56,Madeira,CDS-PP,0,6.02,6.25,7536
10/6/2019 18:56,Madeira,PCP-PEV,0,3.57,3.71,4468
10/6/2019 18:56,Madeira,PAN,0,1.76,1.83,2206
10/6/2019 18:56,Madeira,PDR,0,1.71,1.78,2144
10/6/2019 18:56,Madeira,PTP,0,1.4,1.45,1748
10/6/2019 18:56,Madeira,MPT,0,1.36,1.42,1705
10/6/2019 18:56,Madeira,PCTP/MRPP,0,1.27,1.32,1592
10/6/2019 18:56,Madeira,L/TDA,0,1.01,1.05,1260
10/6/2019 18:56,Madeira,NC,0,0.9,0.93,1125
10/6/2019 18:56,Madeira,PNR,0,0.63,0.65,784
10/6/2019 18:56,Madeira,PPM,0,0.42,0.44,528
10/6/2019 18:56,Portalegre,PS,1,42.43,43.94,25037
10/6/2019 18:56,Portalegre,PPD/PSD.CDS-PP,1,27.63,28.61,16303
10/6/2019 18:56,Portalegre,PCP-PEV,0,12.18,12.61,7184
10/6/2019 18:56,Portalegre,B.E.,0,9.2,9.52,5427
10/6/2019 18:56,Portalegre,PCTP/MRPP,0,1.7,1.76,1001
10/6/2019 18:56,Portalegre,PAN,0,0.79,0.81,464
10/6/2019 18:56,Portalegre,PDR,0,0.55,0.57,326
10/6/2019 18:56,Portalegre,PNR,0,0.37,0.38,217
10/6/2019 18:56,Portalegre,PTP-MAS,0,0.34,0.35,198
10/6/2019 18:56,Portalegre,L/TDA,0,0.32,0.33,189
10/6/2019 18:56,Portalegre,PPM,0,0.32,0.33,187
10/6/2019 18:56,Portalegre,MPT,0,0.26,0.27,154
10/6/2019 18:56,Portalegre,PURP,0,0.25,0.26,147
10/6/2019 18:56,Portalegre,NC,0,0.24,0.25,144
10/6/2019 18:56,Porto,PPD/PSD.CDS-PP,17,39.59,41,380043
10/6/2019 18:56,Porto,PS,14,32.72,33.88,314084
10/6/2019 18:56,Porto,B.E.,5,11.14,11.54,106954
10/6/2019 18:56,Porto,PCP-PEV,3,6.83,7.07,65560
10/6/2019 18:56,Porto,PAN,0,1.59,1.65,15295
10/6/2019 18:56,Porto,PDR,0,1.11,1.15,10702
10/6/2019 18:56,Porto,PCTP/MRPP,0,1.07,1.11,10290
10/6/2019 18:56,Porto,L/TDA,0,0.52,0.54,5014
10/6/2019 18:56,Porto,PNR,0,0.49,0.51,4750
10/6/2019 18:56,Porto,MPT,0,0.36,0.37,3449
10/6/2019 18:56,Porto,NC,0,0.29,0.3,2773
10/6/2019 18:56,Porto,PTP-MAS,0,0.29,0.3,2788
10/6/2019 18:56,Porto,PPM,0,0.25,0.26,2392
10/6/2019 18:56,Porto,PURP,0,0.17,0.17,1611
10/6/2019 18:56,Porto,JPP,0,0.13,0.13,1239
10/6/2019 18:56,Santarém,PPD/PSD.CDS-PP,4,35.82,37.32,81544
10/6/2019 18:56,Santarém,PS,3,32.91,34.28,74905
10/6/2019 18:56,Santarém,B.E.,1,10.76,11.21,24489
10/6/2019 18:56,Santarém,PCP-PEV,1,9.64,10.04,21941
10/6/2019 18:56,Santarém,PCTP/MRPP,0,1.34,1.4,3060
10/6/2019 18:56,Santarém,PAN,0,1.19,1.24,2715
10/6/2019 18:56,Santarém,PDR,0,1.04,1.09,2377
10/6/2019 18:56,Santarém,L/TDA,0,0.54,0.57,1236
10/6/2019 18:56,Santarém,PNR,0,0.53,0.55,1206
10/6/2019 18:56,Santarém,MPT,0,0.46,0.48,1038
10/6/2019 18:56,Santarém,NC,0,0.41,0.43,932
10/6/2019 18:56,Santarém,PTP-MAS,0,0.41,0.42,928
10/6/2019 18:56,Santarém,PPM,0,0.36,0.38,822
10/6/2019 18:56,Santarém,PURP,0,0.36,0.38,827
10/6/2019 18:56,Santarém,PPV/CDC,0,0.22,0.22,491
10/6/2019 18:56,Setúbal,PS,7,34.31,35.43,145302
10/6/2019 18:56,Setúbal,PPD/PSD.CDS-PP,5,22.59,23.33,95659
10/6/2019 18:56,Setúbal,PCP-PEV,4,18.8,19.41,79606
10/6/2019 18:56,Setúbal,B.E.,2,13.05,13.48,55276
10/6/2019 18:56,Setúbal,PAN,0,1.93,1.99,8167
10/6/2019 18:56,Setúbal,PCTP/MRPP,0,1.59,1.64,6721
10/6/2019 18:56,Setúbal,L/TDA,0,1.01,1.04,4277
10/6/2019 18:56,Setúbal,PDR,0,0.97,1.01,4124
10/6/2019 18:56,Setúbal,PNR,0,0.63,0.65,2676
10/6/2019 18:56,Setúbal,PTP-MAS,0,0.43,0.44,1807
10/6/2019 18:56,Setúbal,PURP,0,0.4,0.41,1700
10/6/2019 18:56,Setúbal,MPT,0,0.37,0.39,1584
10/6/2019 18:56,Setúbal,NC,0,0.37,0.38,1572
10/6/2019 18:56,Setúbal,PPM,0,0.24,0.25,1024
10/6/2019 18:56,Setúbal,JPP,0,0.13,0.14,561
10/6/2019 18:56,Viana do Castelo,PPD/PSD.CDS-PP,4,45.54,47.52,58509
10/6/2019 18:56,Viana do Castelo,PS,2,29.82,31.12,38309
10/6/2019 18:56,Viana do Castelo,B.E.,0,7.96,8.3,10225
10/6/2019 18:56,Viana do Castelo,PCP-PEV,0,5.23,5.46,6726
10/6/2019 18:56,Viana do Castelo,PDR,0,1.87,1.95,2400
10/6/2019 18:56,Viana do Castelo,PCTP/MRPP,0,0.87,0.9,1113
10/6/2019 18:56,Viana do Castelo,PAN,0,0.85,0.88,1086
10/6/2019 18:56,Viana do Castelo,NC,0,0.81,0.84,1037
10/6/2019 18:56,Viana do Castelo,PTP-MAS,0,0.75,0.78,959
10/6/2019 18:56,Viana do Castelo,PNR,0,0.44,0.45,559
10/6/2019 18:56,Viana do Castelo,PPM,0,0.42,0.43,535
10/6/2019 18:56,Viana do Castelo,L/TDA,0,0.35,0.37,453
10/6/2019 18:56,Viana do Castelo,MPT,0,0.35,0.36,445
10/6/2019 18:56,Viana do Castelo,PPV/CDC,0,0.3,0.32,390
10/6/2019 18:56,Viana do Castelo,PURP,0,0.17,0.17,213
10/6/2019 18:56,Viana do Castelo,JPP,0,0.12,0.13,160
10/6/2019 18:56,Vila Real,PPD/PSD.CDS-PP,3,51.02,52.88,56262
10/6/2019 18:56,Vila Real,PS,2,33.06,34.27,36461
10/6/2019 18:56,Vila Real,B.E.,0,5.18,5.36,5707
10/6/2019 18:56,Vila Real,PCP-PEV,0,2.95,3.05,3250
10/6/2019 18:56,Vila Real,PCTP/MRPP,0,0.91,0.94,1004
10/6/2019 18:56,Vila Real,PDR,0,0.73,0.76,806
10/6/2019 18:56,Vila Real,PAN,0,0.6,0.63,667
10/6/2019 18:56,Vila Real,PTP-MAS,0,0.47,0.49,521
10/6/2019 18:56,Vila Real,L/TDA,0,0.35,0.36,383
10/6/2019 18:56,Vila Real,PPM,0,0.29,0.3,316
10/6/2019 18:56,Vila Real,MPT,0,0.28,0.29,306
10/6/2019 18:56,Vila Real,NC,0,0.25,0.26,281
10/6/2019 18:56,Vila Real,PNR,0,0.25,0.26,279
10/6/2019 18:56,Vila Real,PURP,0,0.14,0.14,151
10/6/2019 18:56,Viseu,PPD/PSD.CDS-PP,6,51.05,53.25,97362
10/6/2019 18:56,Viseu,PS,3,29.65,30.92,56543
10/6/2019 18:56,Viseu,B.E.,0,6.72,7.01,12816
10/6/2019 18:56,Viseu,PCP-PEV,0,3.5,3.65,6668
10/6/2019 18:56,Viseu,PDR,0,1.02,1.07,1952
10/6/2019 18:56,Viseu,PCTP/MRPP,0,0.91,0.95,1743
10/6/2019 18:56,Viseu,PAN,0,0.68,0.71,1296
10/6/2019 18:56,Viseu,L/TDA,0,0.53,0.55,1003
10/6/2019 18:56,Viseu,PTP-MAS,0,0.38,0.39,721
10/6/2019 18:56,Viseu,MPT,0,0.36,0.37,679
10/6/2019 18:56,Viseu,PNR,0,0.32,0.33,608
10/6/2019 18:56,Viseu,NC,0,0.28,0.29,534
10/6/2019 18:56,Viseu,PPM,0,0.28,0.29,533
10/6/2019 18:56,Viseu,PURP,0,0.2,0.21,387
10/6/2019 19:00,Território Nacional,PPD/PSD.CDS-PP,99,36.83,38.24,1981459
10/6/2019 19:00,Território Nacional,PS,85,32.38,33.62,1742012
10/6/2019 19:00,Território Nacional,B.E.,19,10.22,10.61,549878
10/6/2019 19:00,Território Nacional,PCP-PEV,17,8.27,8.59,444955
10/6/2019 19:00,Território Nacional,PPD/PSD,5,1.51,1.56,81054
10/6/2019 19:00,Território Nacional,PAN,1,1.39,1.44,74752
10/6/2019 19:00,Território Nacional,PDR,0,1.13,1.18,60998
10/6/2019 19:00,Território Nacional,PCTP/MRPP,0,1.11,1.15,59838
10/6/2019 19:00,Território Nacional,L/TDA,0,0.72,0.75,39008
10/6/2019 19:00,Território Nacional,PNR,0,0.5,0.52,27141
10/6/2019 19:00,Território Nacional,MPT,0,0.42,0.43,22416
10/6/2019 19:00,Território Nacional,PTP-MAS,0,0.38,0.4,20709
10/6/2019 19:00,Território Nacional,NC,0,0.35,0.36,18722
10/6/2019 19:00,Território Nacional,PPM,0,0.28,0.29,14805
10/6/2019 19:00,Território Nacional,JPP,0,0.26,0.27,14204
10/6/2019 19:00,Território Nacional,PURP,0,0.26,0.27,13764
10/6/2019 19:00,Território Nacional,CDS-PP,0,0.14,0.15,7536
10/6/2019 19:00,Território Nacional,CDS-PP.PPM,0,0.07,0.07,3654
10/6/2019 19:00,Território Nacional,PPV/CDC,0,0.05,0.05,2659
10/6/2019 19:00,Território Nacional,PTP,0,0.03,0.03,1748
10/6/2019 19:00,Açores,PS,3,40.37,42.47,37869
10/6/2019 19:00,Açores,PPD/PSD,2,36.06,37.93,33826
10/6/2019 19:00,Açores,B.E.,0,7.81,8.22,7330
10/6/2019 19:00,Açores,CDS-PP.PPM,0,3.9,4.1,3654
10/6/2019 19:00,Açores,PCP-PEV,0,2.47,2.6,2320
10/6/2019 19:00,Açores,PAN,0,0.87,0.91,815
10/6/2019 19:00,Açores,NC,0,0.82,0.86,766
10/6/2019 19:00,Açores,PCTP/MRPP,0,0.64,0.67,601
10/6/2019 19:00,Açores,PDR,0,0.54,0.57,511
10/6/2019 19:00,Açores,PURP,0,0.37,0.39,346
10/6/2019 19:00,Açores,L/TDA,0,0.35,0.37,332
10/6/2019 19:00,Açores,PTP-MAS,0,0.34,0.36,319
10/6/2019 19:00,Açores,MPT,0,0.32,0.34,299
10/6/2019 19:00,Açores,PNR,0,0.2,0.21,185
10/6/2019 19:00,Aveiro,PPD/PSD.CDS-PP,10,48.14,50.23,177185
10/6/2019 19:00,Aveiro,PS,5,27.91,29.12,102726
10/6/2019 19:00,Aveiro,B.E.,1,9.6,10.01,35327
10/6/2019 19:00,Aveiro,PCP-PEV,0,4.36,4.55,16038
10/6/2019 19:00,Aveiro,PDR,0,1.24,1.29,4548
10/6/2019 19:00,Aveiro,PAN,0,0.97,1.01,3573
10/6/2019 19:00,Aveiro,PCTP/MRPP,0,0.89,0.93,3280
10/6/2019 19:00,Aveiro,PNR,0,0.46,0.48,1698
10/6/2019 19:00,Aveiro,L/TDA,0,0.45,0.47,1660
10/6/2019 19:00,Aveiro,MPT,0,0.36,0.38,1325
10/6/2019 19:00,Aveiro,PPM,0,0.35,0.37,1292
10/6/2019 19:00,Aveiro,PTP-MAS,0,0.34,0.36,1253
10/6/2019 19:00,Aveiro,NC,0,0.27,0.29,1006
10/6/2019 19:00,Aveiro,PPV/CDC,0,0.21,0.22,785
10/6/2019 19:00,Aveiro,PURP,0,0.17,0.18,634
10/6/2019 19:00,Aveiro,JPP,0,0.12,0.13,448
10/6/2019 19:00,Beja,PS,1,37.29,38.51,27775
10/6/2019 19:00,Beja,PCP-PEV,1,24.96,25.78,18592
10/6/2019 19:00,Beja,PPD/PSD.CDS-PP,1,20.11,20.77,14980
10/6/2019 19:00,Beja,B.E.,0,8.2,8.46,6105
10/6/2019 19:00,Beja,PCTP/MRPP,0,2.61,2.7,1945
10/6/2019 19:00,Beja,PAN,0,0.82,0.84,608
10/6/2019 19:00,Beja,PDR,0,0.47,0.49,351
10/6/2019 19:00,Beja,PURP,0,0.46,0.47,340
10/6/2019 19:00,Beja,PNR,0,0.37,0.38,275
10/6/2019 19:00,Beja,L/TDA,0,0.36,0.38,271
10/6/2019 19:00,Beja,MPT,0,0.33,0.34,248
10/6/2019 19:00,Beja,PPM,0,0.26,0.27,192
10/6/2019 19:00,Beja,PTP-MAS,0,0.26,0.27,193
10/6/2019 19:00,Beja,NC,0,0.21,0.22,160
10/6/2019 19:00,Beja,JPP,0,0.12,0.12,88
10/6/2019 19:00,Braga,PPD/PSD.CDS-PP,10,45.61,47.29,216357
10/6/2019 19:00,Braga,PS,7,30.87,32,146412
10/6/2019 19:00,Braga,B.E.,1,8.8,9.12,41745
10/6/2019 19:00,Braga,PCP-PEV,1,5.19,5.38,24632
10/6/2019 19:00,Braga,PDR,0,1.58,1.64,7500
10/6/2019 19:00,Braga,PCTP/MRPP,0,1.15,1.19,5436
10/6/2019 19:00,Braga,PAN,0,0.78,0.8,3682
10/6/2019 19:00,Braga,L/TDA,0,0.49,0.51,2333
10/6/2019 19:00,Braga,PNR,0,0.39,0.4,1836
10/6/2019 19:00,Braga,MPT,0,0.34,0.35,1604
10/6/2019 19:00,Braga,PTP-MAS,0,0.34,0.35,1620
10/6/2019 19:00,Braga,PPV/CDC,0,0.21,0.22,993
10/6/2019 19:00,Braga,NC,0,0.2,0.21,972
10/6/2019 19:00,Braga,PPM,0,0.19,0.19,884
10/6/2019 19:00,Braga,PURP,0,0.19,0.19,878
10/6/2019 19:00,Braga,JPP,0,0.13,0.14,637
10/6/2019 19:00,Bragança,PPD/PSD.CDS-PP,2,49.41,51.32,34408
10/6/2019 19:00,Bragança,PS,1,34.06,35.38,23718
10/6/2019 19:00,Bragança,B.E.,0,5.54,5.75,3858
